iter	Logloss
0	0.6879367396
1	0.6825136108
2	0.6774122623
3	0.6724915667
4	0.6671590938
5	0.6626314443
6	0.6583272041
7	0.6541722641
8	0.6490231653
9	0.6449700556
10	0.6415568183
11	0.6368875936
12	0.6331875646
13	0.6296760845
14	0.6258765762
15	0.6215746684
16	0.6178236852
17	0.6144781948
18	0.610786317
19	0.6072273112
20	0.6042193134
21	0.6011440614
22	0.5980897631
23	0.5949357241
24	0.5914755828
25	0.5889258322
26	0.5863092199
27	0.5835006539
28	0.5807377894
29	0.578047258
30	0.5760669583
31	0.573932205
32	0.5711659178
33	0.5691476955
34	0.5670204793
35	0.5644612913
36	0.5622615395
37	0.5598077123
38	0.5580885081
39	0.555817353
40	0.5541751884
41	0.5518176508
42	0.5499078297
43	0.5480627568
44	0.5461567959
45	0.5445262242
46	0.5426485922
47	0.5406777065
48	0.5384682235
49	0.5366364941
50	0.5349711111
51	0.5336555315
52	0.5322516866
53	0.5306988293
54	0.5290639707
55	0.52772769
56	0.5259816052
57	0.5244003861
58	0.5230828909
59	0.5217827444
60	0.5205301065
61	0.5192699338
62	0.5179964982
63	0.5165932592
64	0.5155706761
65	0.5145277887
66	0.5130900188
67	0.5118235582
68	0.5105490795
69	0.5094737611
70	0.508524606
71	0.5074505036
72	0.506397912
73	0.5050412521
74	0.5038457678
75	0.5028484916
76	0.5020006551
77	0.5008166082
78	0.499783254
79	0.4988003539
80	0.4977783938
81	0.496747882
82	0.4959265393
83	0.4951740964
84	0.4942103637
85	0.4934178968
86	0.4926043651
87	0.4913554746
88	0.4904261674
89	0.4893097639
90	0.4885393219
91	0.4877449746
92	0.4870982916
93	0.4863561002
94	0.4856477119
95	0.4848884215
96	0.4840058194
97	0.4832858962
98	0.4825348891
99	0.4818287969
100	0.4812459046
101	0.4807416634
102	0.4800359337
103	0.4793138226
104	0.4786578484
105	0.4778462499
106	0.4772679771
107	0.4766947805
108	0.4761330884
109	0.475151611
110	0.4746929887
111	0.4740346306
112	0.4734554848
113	0.4727718606
114	0.4721688228
115	0.4717322509
116	0.4711323886
117	0.4704629958
118	0.4697642783
119	0.4691733595
120	0.4686313512
121	0.4680334635
122	0.4676078553
123	0.4672432574
124	0.4667609204
125	0.4662905602
126	0.4656388625
127	0.4651726859
128	0.4647358568
129	0.4642164158
130	0.4636505042
131	0.4632517466
132	0.4626278272
133	0.4621608652
134	0.4615499519
135	0.4610801881
136	0.4605926208
137	0.4598901949
138	0.4594250122
139	0.4589870278
140	0.4582556656
141	0.4579023373
